"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"34","Male","Married",37,"Policy Holder","Sport","more than 69000",0,"400","8 to 15","8 to 15","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","Japan"
"36","Male","Married",37,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"37","Male","Married",28,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"38","Male","Married",32,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"39","Female","Married",55,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"40","Male","Married",46,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"41","Male","Married",28,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","6 years","Yes","No","External","none","1 vehicle","1995","All Perils","Japan"
"42","Male","Married",62,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","Collision","Japan"
"43","Female","Single",37,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","Yes","No","External","1 to 2","1 vehicle","1995","Collision","Japan"
"44","Female","Married",39,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Collision","Japan"
"45","Male","Married",47,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"47","Male","Single",32,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"49","Female","Married",42,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","3 to 4","1996","All Perils","Japan"
"50","Male","Married",62,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"52","Male","Married",52,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"53","Male","Married",61,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"54","Male","Married",49,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"55","Male","Single",35,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"56","Male","Married",43,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"57","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1996","All Perils","Japan"
"58","Male","Married",36,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"59","Male","Married",68,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"60","Male","Married",42,"Policy Holder","Sedan","20000 to 29000",0,"500","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"61","Male","Single",36,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"62","Male","Married",59,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1996","All Perils","Japan"
"65","Male","Married",51,"Policy Holder","Utility","more than 69000",1,"400","15 to 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"67","Male","Married",36,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"71","Male","Married",42,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"73","Male","Married",60,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","Yes","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"76","Male","Single",31,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"79","Male","Married",41,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"80","Male","Married",59,"Third Party","Utility","more than 69000",0,"400","more than 30","more than 30","1","5 years","No","No","External","1 to 2","1 vehicle","1996","All Perils","Japan"
"83","Male","Married",43,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"84","Male","Married",53,"Policy Holder","Sport","60000 to 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","Japan"
"86","Male","Married",28,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"90","Male","Married",46,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"91","Male","Single",58,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"92","Male","Married",38,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"94","Male","Married",27,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Collision","Japan"
"95","Male","Married",36,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"96","Male","Married",39,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"98","Male","Married",42,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"99","Male","Married",46,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"100","Male","Married",33,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","Japan"
"101","Male","Single",33,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","Yes","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"102","Male","Married",65,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"103","Male","Married",30,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"104","Male","Married",28,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","1","6 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"105","Male","Married",62,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"107","Male","Married",37,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"108","Male","Married",42,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"109","Female","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"110","Male","Married",41,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"111","Male","Married",59,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1996","Liability","Japan"
"112","Male","Married",35,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","2 vehicles","1996","All Perils","Japan"
"114","Male","Married",32,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"115","Male","Married",39,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"118","Male","Married",56,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"120","Male","Married",42,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"121","Male","Married",39,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"123","Male","Married",36,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"124","Male","Married",44,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"126","Male","Married",50,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"127","Female","Married",38,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"129","Male","Married",61,"Policy Holder","Sport","20000 to 29000",0,"700","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"130","Male","Married",37,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1995","Collision","Japan"
"131","Male","Married",49,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","1 to 2","1 vehicle","1995","Liability","Japan"
"133","Male","Married",76,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"134","Male","Married",40,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"135","Male","Single",26,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","Japan"
"136","Male","Married",43,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"137","Male","Married",27,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"138","Male","Married",61,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"139","Male","Married",60,"Policy Holder","Utility","more than 69000",0,"500","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"140","Male","Married",47,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"141","Male","Married",36,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"143","Male","Married",43,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1995","Liability","Japan"
"144","Male","Single",24,"Policy Holder","Sport","30000 to 39000",1,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"145","Male","Single",38,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"146","Male","Married",47,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1995","Liability","Japan"
"147","Male","Married",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"148","Male","Married",46,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"150","Male","Married",54,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"151","Male","Married",38,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"152","Male","Married",55,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"155","Male","Married",32,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","3 to 4","1994","All Perils","Japan"
"156","Male","Single",33,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1996","Liability","Japan"
"157","Male","Married",38,"Third Party","Sedan","30000 to 39000",0,"400","1 to 7","more than 30","1","6 years","No","Yes","External","none","1 vehicle","1994","All Perils","Japan"
"158","Male","Married",33,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","Japan"
"159","Female","Single",39,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"160","Female","Single",50,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","6 years","No","No","External","1 to 2","1 vehicle","1995","Collision","Japan"
"161","Male","Married",35,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"162","Male","Married",51,"Policy Holder","Utility","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"163","Male","Married",74,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","7 years","Yes","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"164","Male","Married",50,"Third Party","Sedan","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"165","Male","Married",53,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"166","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"168","Male","Single",56,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"169","Male","Single",30,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"170","Male","Married",37,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1996","Collision","Japan"
"171","Male","Married",38,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","Japan"
"177","Male","Married",27,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","3 to 4","1994","All Perils","Japan"
"178","Male","Married",41,"Policy Holder","Sport","40000 to 59000",0,"400","15 to 30","15 to 30","1","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"180","Male","Married",42,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"181","Male","Married",44,"Policy Holder","Sedan","40000 to 59000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"182","Male","Married",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Liability","Japan"
"183","Male","Single",43,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"185","Male","Single",47,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"186","Male","Married",39,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","Japan"
"187","Male","Married",48,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"188","Male","Married",44,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"190","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"191","Male","Married",56,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"192","Male","Married",33,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"194","Male","Married",56,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","Yes","External","none","1 vehicle","1994","All Perils","Japan"
"195","Male","Single",35,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"196","Male","Married",47,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"197","Male","Married",37,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"198","Male","Married",39,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"199","Male","Married",42,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"201","Male","Married",49,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"202","Male","Married",41,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"203","Female","Married",36,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"205","Male","Married",61,"Policy Holder","Utility","more than 69000",0,"400","1 to 7","15 to 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"206","Male","Married",44,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"207","Male","Single",35,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","Yes","No","External","3 to 5","1 vehicle","1995","Collision","Japan"
"208","Male","Married",54,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"209","Female","Single",26,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"213","Male","Married",44,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"214","Male","Married",46,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"215","Male","Married",45,"Policy Holder","Utility","more than 69000",0,"700","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"216","Male","Married",41,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"217","Male","Married",73,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"218","Male","Married",30,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","3 to 4","1995","Liability","Japan"
"219","Male","Married",34,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","2 vehicles","1996","Liability","Japan"
"220","Male","Married",54,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"221","Male","Married",67,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1996","All Perils","Japan"
"222","Male","Married",46,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"223","Male","Married",48,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"225","Female","Single",44,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"226","Male","Married",61,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Liability","Japan"
